epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,175.5,2.32938,3.75261,1.58931,0.29162,0.34217,0.2671,0.08889,2.23492,3.32802,1.61167,0.000369376,0.000369376,0.000369376
2,354.991,2.10915,2.63765,1.4859,0.36791,0.3548,0.32209,0.11276,2.25113,2.42253,1.60423,0.000725063,0.000725063,0.000725063
3,531.237,2.0568,2.30235,1.47376,0.45385,0.47379,0.46641,0.18234,2.05143,1.97144,1.52342,0.00106609,0.00106609,0.00106609
4,722.897,2.01591,2.12762,1.45956,0.39003,0.46082,0.41597,0.15195,2.07066,2.19748,1.56161,0.00104501,0.00104501,0.00104501
5,900.016,1.9959,1.98967,1.43451,0.43558,0.47796,0.41157,0.16239,2.06287,1.87637,1.5394,0.00102301,0.00102301,0.00102301
6,1077.25,1.97118,1.9124,1.42537,0.58531,0.5174,0.53826,0.20403,2.06514,1.73583,1.54524,0.00100101,0.00100101,0.00100101
7,1248.12,1.94876,1.8358,1.40897,0.57703,0.49637,0.51649,0.20038,2.09523,1.74215,1.57426,0.000979013,0.000979013,0.000979013
8,1416.63,1.93963,1.82467,1.39942,0.68571,0.55569,0.61191,0.23824,2.02082,1.65561,1.50077,0.000957015,0.000957015,0.000957015
9,1591.99,1.90948,1.75048,1.39135,0.6063,0.54464,0.59622,0.24106,1.96037,1.60344,1.50042,0.000935018,0.000935018,0.000935018
10,1768.17,1.88813,1.72205,1.38133,0.63954,0.54232,0.59616,0.23373,1.97696,1.6319,1.48749,0.00091302,0.00091302,0.00091302
11,1945.69,1.87601,1.68745,1.36797,0.56857,0.55719,0.59364,0.24077,1.97295,1.68903,1.48089,0.000891022,0.000891022,0.000891022
12,2120.09,1.88646,1.66089,1.37587,0.67105,0.58883,0.64213,0.26178,1.95606,1.50379,1.46426,0.000869024,0.000869024,0.000869024
13,2291.65,1.86854,1.64896,1.36596,0.61873,0.50642,0.57221,0.23096,1.96423,1.77972,1.48851,0.000847026,0.000847026,0.000847026
14,2463.24,1.87008,1.61148,1.36591,0.66047,0.59888,0.64014,0.26034,1.91322,1.4652,1.45574,0.000825029,0.000825029,0.000825029
15,2634.4,1.86648,1.57696,1.36697,0.73767,0.60713,0.68268,0.26927,1.93214,1.46518,1.45949,0.000803031,0.000803031,0.000803031
16,2814.12,1.85711,1.60967,1.35795,0.66255,0.54551,0.59408,0.22731,2.00966,1.71546,1.48613,0.000781033,0.000781033,0.000781033
17,3000.8,1.83293,1.55212,1.34117,0.66882,0.56426,0.64848,0.26399,1.959,1.47653,1.45784,0.000759035,0.000759035,0.000759035
18,3202.71,1.83391,1.5482,1.34787,0.7042,0.59153,0.66011,0.26822,1.94892,1.4735,1.46943,0.000737037,0.000737037,0.000737037
19,3384.65,1.82639,1.5254,1.34132,0.7412,0.60693,0.68945,0.28352,1.90689,1.44701,1.43307,0.00071504,0.00071504,0.00071504
20,3546.6,1.81182,1.52226,1.33377,0.74038,0.65059,0.70781,0.28556,1.9446,1.37259,1.45519,0.000693042,0.000693042,0.000693042
21,3715.58,1.81503,1.47292,1.3354,0.73621,0.63312,0.69844,0.29402,1.91161,1.35905,1.44185,0.000671044,0.000671044,0.000671044
22,3892.96,1.80841,1.46308,1.33024,0.72521,0.66355,0.70039,0.29173,1.91392,1.33281,1.43717,0.000649046,0.000649046,0.000649046
23,4071.07,1.81074,1.46003,1.33613,0.73608,0.59478,0.6754,0.27975,1.93406,1.44926,1.44423,0.000627048,0.000627048,0.000627048
24,4241.94,1.80204,1.44487,1.33515,0.75883,0.65521,0.73111,0.31002,1.91295,1.32297,1.43995,0.000605051,0.000605051,0.000605051
25,4413.5,1.79675,1.42025,1.31742,0.74526,0.66267,0.72253,0.30053,1.89809,1.3325,1.42675,0.000583053,0.000583053,0.000583053
26,4587.41,1.80583,1.42735,1.3189,0.77873,0.65567,0.73081,0.30264,1.92408,1.30396,1.43951,0.000561055,0.000561055,0.000561055
27,4764.8,1.80393,1.42984,1.31755,0.77738,0.65425,0.72401,0.29994,1.91686,1.30056,1.42474,0.000539057,0.000539057,0.000539057
28,4954.94,1.80133,1.3989,1.31345,0.78466,0.65113,0.73887,0.30486,1.92827,1.29299,1.44032,0.000517059,0.000517059,0.000517059
29,5152.85,1.7877,1.38073,1.32051,0.78999,0.66644,0.73746,0.31177,1.91059,1.2711,1.4342,0.000495062,0.000495062,0.000495062
30,5349.17,1.78549,1.3876,1.29992,0.77121,0.67733,0.73332,0.30943,1.90023,1.25613,1.41575,0.000473064,0.000473064,0.000473064
31,5542.14,1.77774,1.36945,1.31128,0.77584,0.71134,0.76766,0.32106,1.91657,1.21539,1.43204,0.000451066,0.000451066,0.000451066
32,5751.72,1.75804,1.34695,1.30266,0.76663,0.68048,0.74516,0.30326,1.93147,1.31832,1.44308,0.000429068,0.000429068,0.000429068
33,5958.29,1.76462,1.33242,1.29604,0.81059,0.70748,0.77845,0.32749,1.89702,1.21851,1.4243,0.00040707,0.00040707,0.00040707
34,6169.41,1.74783,1.33447,1.28568,0.77822,0.70044,0.76153,0.32088,1.90024,1.20954,1.41658,0.000385073,0.000385073,0.000385073
35,6377.21,1.75904,1.31973,1.28284,0.77579,0.7105,0.76447,0.317,1.91797,1.23429,1.41941,0.000363075,0.000363075,0.000363075
36,6579.15,1.74295,1.30823,1.27968,0.79675,0.71342,0.77351,0.32299,1.9022,1.21521,1.41438,0.000341077,0.000341077,0.000341077
37,6780.94,1.75157,1.31868,1.28713,0.78672,0.70256,0.7706,0.33015,1.90137,1.22102,1.41608,0.000319079,0.000319079,0.000319079
38,6981.87,1.74659,1.28497,1.29373,0.79058,0.68986,0.76551,0.32509,1.88361,1.22735,1.40882,0.000297081,0.000297081,0.000297081
39,7169.89,1.73599,1.27868,1.27981,0.79507,0.7047,0.77859,0.32973,1.88775,1.21483,1.41356,0.000275084,0.000275084,0.000275084
40,7356.01,1.73509,1.28578,1.27923,0.77517,0.7184,0.77671,0.32834,1.90021,1.22343,1.41414,0.000253086,0.000253086,0.000253086
41,7539.86,1.69575,1.11273,1.36118,0.79694,0.73145,0.79476,0.33818,1.87684,1.16734,1.39554,0.000231088,0.000231088,0.000231088
42,7725.26,1.69131,1.08374,1.35917,0.80125,0.71428,0.78113,0.33186,1.88595,1.17838,1.40408,0.00020909,0.00020909,0.00020909
43,7910.41,1.68261,1.05835,1.35702,0.81459,0.73351,0.79706,0.3426,1.88334,1.12716,1.39912,0.000187092,0.000187092,0.000187092
44,8094.63,1.67994,1.05249,1.34942,0.83257,0.7414,0.80747,0.35094,1.86545,1.11922,1.38465,0.000165095,0.000165095,0.000165095
